Date,Symbol,Close,Volume,Title,Description
03/12/2017,AAPL, , ,Voice: The Next Computing Empire,"This article is the first in a two part series aimed at exploring the rapidly developing state of voice computing from the investor s perspective In Part I I discuss why it s now increasingly clear that the human voice will become society s next major computing interface and<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/djoKX8vWXQk"" height=""1"" width=""1"" alt=""""/>"
03/12/2017,AMZN, , ,Voice: The Next Computing Empire,"This article is the first in a two part series aimed at exploring the rapidly developing state of voice computing from the investor s perspective In Part I I discuss why it s now increasingly clear that the human voice will become society s next major computing interface and<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/djoKX8vWXQk"" height=""1"" width=""1"" alt=""""/>"
03/11/2017,AAPL, , ,3 Growth Stocks I&#39;d Buy Right Now,"The recent bull market has pushed many growth stocks valuations into the stratosphere Thankfully not every growth stock is priced for perfection Skyworks Solutions NASDAQ SWKS Regeneron Pharmaceuticals NASDAQ REGN and Under Armour NYSE UA NYSE UAA all<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/9M80V5sdXO4"" height=""1"" width=""1"" alt=""""/>"
03/11/2017,AMZN, , ,Is This NVIDIA&#39;s Next Big Opportunity?,"Image source NVIDIA Gaming is NVIDIA s NASDAQ NVDA biggest revenue source while the automotive business is said to be its next big play However the company s data center business which has Amazon NASDAQ AMZN and Microsoft NASDAQ MSFT as clients<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/akK6rs4j6eM"" height=""1"" width=""1"" alt=""""/>"
03/11/2017,GOOG, , ,The 5 Biggest Challenges to the Driverless Car Revolution,"The year 2017 is gearing up to be a momentous year for the driverless car race But despite major initiatives by megacorporations Alphabet NASDAQ GOOG NASDAQ GOOGL Tesla Motors NASDAQ TSLA and others there are major road blocks ahead for the driverless car<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/O37rjhRwgds"" height=""1"" width=""1"" alt=""""/>"
03/10/2017,AAPL,139.14,"19,578,920"
03/10/2017,AMZN,852.46,"2,434,254",How Best Buy Survived While RadioShack Has Been to Bankruptcy Court Twice,"RadioShack has filed for bankruptcy protection for a second time with the company s owner immediately closing 200 stores and considering its options for the remaining 1 300 it owns At roughly the same time Best Buy NYSE BBY another electronics retailer has turned the<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/GyKBxg142GA"" height=""1"" width=""1"" alt=""""/>"
03/10/2017,GOOG,843.25,"1,702,731",Alphabet Self-driving Car Unit Seeks Injunction Against Uber,"Alphabet Self-driving Car Unit Seeks Injunction Against Uber<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/fwqJF9ffng4"" height=""1"" width=""1"" alt=""""/>"
03/09/2017,AAPL,138.68,"22,117,750"
03/09/2017,AMZN,853,"2,043,932"
03/09/2017,GOOG,838.68,"1,261,393"
03/08/2017,AAPL,139,"18,695,500"
03/08/2017,AMZN,850.5,"2,286,974",Nintendo Switch Will Have Netflix And Hulu Eventually,"Nintendo Switch Will Have Netflix And Hulu Eventually<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/GcOy3UYelh4"" height=""1"" width=""1"" alt=""""/>"
03/08/2017,GOOG,835.37,"988,900",Why Alphabet and Microsoft Should Start Disclosing Cloud Revenue,"Alphabet NASDAQ GOOG NASDAQ GOOGL is currently hosting its Google Cloud Next 17 developer conference which kicked off earlier today in San Francisco and runs through March 10 Speaking at the event Google CEO Sundar Pichai made it clear that he sees Google Cloud as an<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/Trw3geYVfHs"" height=""1"" width=""1"" alt=""""/>"
03/07/2017,AAPL,139.52,"17,439,210"
03/07/2017,AMZN,846.02,"2,246,216"
03/07/2017,GOOG,831.91,"1,037,573",Google Reportedly Faces New EU Complaint Over Android,"Google Reportedly Faces New EU Complaint Over Android<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/NGCey9RvuwU"" height=""1"" width=""1"" alt=""""/>"
03/06/2017,AAPL,139.34,"21,229,890"
03/06/2017,AMZN,846.61,"2,609,139",Amazon Looking Ahead To Moon Deliveries,"Amazon Looking Ahead To Moon Deliveries<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/A28zqOJf0Ao"" height=""1"" width=""1"" alt=""""/>"
03/06/2017,GOOG,827.78,"1,108,799"
03/03/2017,AAPL,139.78,"21,555,370",Report: New Apple Phone Delayed,"Report: New Apple Phone Delayed<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/qicAUITjW6Y"" height=""1"" width=""1"" alt=""""/>"
03/03/2017,AMZN,849.88,"1,948,195"
03/03/2017,GOOG,829.08,"890,640"
03/02/2017,AAPL,138.96,"26,170,690"
03/02/2017,AMZN,848.91,"2,130,010",Amazon's Cloud Outage Due To Human Error,"Amazon's Cloud Outage Due To Human Error<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/QA5zqNzYnrE"" height=""1"" width=""1"" alt=""""/>"
03/02/2017,GOOG,830.63,"937,824"
03/01/2017,AAPL,139.79,"36,362,440"
03/01/2017,AMZN,853.08,"2,758,169",Asian Shares Mostly Higher As Trump Softens Immigration Stance,"Asian Shares Mostly Higher As Trump Softens Immigration Stance<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/bE9-ajkQOa8"" height=""1"" width=""1"" alt=""""/>"
03/01/2017,GOOG,835.24,"1,495,934"
02/28/2017,AAPL,136.99,"23,446,340",Apple Looking Into Supposed IPhone 7 Plus Fire,"Apple Looking Into Supposed IPhone 7 Plus Fire<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/irIhJGSGCPI"" height=""1"" width=""1"" alt=""""/>"
02/28/2017,AMZN,845.04,"2,787,892",Amazon To Sell Game Downloads From Twitch Streams,"Amazon To Sell Game Downloads From Twitch Streams<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/rHZAjJ4XU6s"" height=""1"" width=""1"" alt=""""/>"
02/28/2017,GOOG,823.21,"2,258,695",YouTube To Unveil $35/Month Web-TV Service,"YouTube To Unveil $35/Month Web-TV Service<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/2Mz7fBsf2w4"" height=""1"" width=""1"" alt=""""/>"
02/27/2017,AAPL,136.93,"20,222,210",Berkshire Increases Its Stake In Apple,"Berkshire Increases Its Stake In Apple<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/1FbnJ-Dv6U8"" height=""1"" width=""1"" alt=""""/>"
02/27/2017,AMZN,848.64,"2,703,855"
02/27/2017,GOOG,829.28,"1,101,120"
02/24/2017,AAPL,136.66,"21,754,600"
02/24/2017,AMZN,845.24,"3,684,473"
02/24/2017,GOOG,828.64,"1,392,039"
02/23/2017,AAPL,136.53,"20,762,360",European Markets Finished Mostly Lower After Late Drop,"European Markets Finished Mostly Lower After Late Drop<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/ovewXJn3jjg"" height=""1"" width=""1"" alt=""""/>"
02/23/2017,AMZN,852.19,"3,459,287"
02/23/2017,GOOG,831.33,"1,471,342",Google Taking On Uber With Waze Expansion,"Google Taking On Uber With Waze Expansion<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/Mm0OtnaEPig"" height=""1"" width=""1"" alt=""""/>"
02/22/2017,AAPL,137.11,"20,769,030",Apple Park Opens To Employees In April; Theater To Be Named For Steve Jobs,"Apple Park Opens To Employees In April; Theater To Be Named For Steve Jobs<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/XTk3ZVXlx90"" height=""1"" width=""1"" alt=""""/>"
02/22/2017,AMZN,855.61,"2,615,385",Amazon Offers One-Time Discount Just Because,"Amazon Offers One-Time Discount Just Because<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/THONMF11lkM"" height=""1"" width=""1"" alt=""""/>"
02/22/2017,GOOG,830.76,"983,058"
02/21/2017,AAPL,136.7,"24,487,200"
02/21/2017,AMZN,856.44,"3,506,621",McDermott Acquires Deepwater Pipelay And Construction Vessel - Quick Facts,"McDermott Acquires Deepwater Pipelay And Construction Vessel - Quick Facts<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/MZT2oy6X_20"" height=""1"" width=""1"" alt=""""/>"
02/21/2017,GOOG,831.66,"1,259,841",YouTube Getting Rid Of Unskippable 30-Second Ads,"YouTube Getting Rid Of Unskippable 30-Second Ads<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/AtXPDoEdANU"" height=""1"" width=""1"" alt=""""/>"
02/18/2017,AAPL, , ,"Euro Has A 'Valuation Problem', Merkel Says","Euro Has A 'Valuation Problem', Merkel Says<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/Ft6QuK82x_c"" height=""1"" width=""1"" alt=""""/>"
02/17/2017,AAPL,135.72,"22,163,280"
02/17/2017,AMZN,845.07,"3,036,616",Amazon Thinking About Parachuting Packages From Drones,"Amazon Thinking About Parachuting Packages From Drones<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/w736uw78SUM"" height=""1"" width=""1"" alt=""""/>"
02/17/2017,GOOG,828.07,"1,602,549"
02/16/2017,AAPL,135.345,"22,539,860"
02/16/2017,AMZN,844.14,"2,710,595"
02/16/2017,GOOG,824.16,"1,285,919",Alphabet Scraps Plan To Blanket Globe With Internet Balloons,"Alphabet Scraps Plan To Blanket Globe With Internet Balloons<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/sEkxGsV78oA"" height=""1"" width=""1"" alt=""""/>"
02/15/2017,AAPL,135.51,"35,578,640"
02/15/2017,AMZN,842.7,"2,960,469"
02/15/2017,GOOG,818.98,"1,311,316",Disney Parts Ways With Pewdiepie After Anti-Semitic Stunt,"Disney Parts Ways With Pewdiepie After Anti-Semitic Stunt<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/A0NOLwdqako"" height=""1"" width=""1"" alt=""""/>"
02/14/2017,AAPL,135.02,"33,054,500",Apple Reportedly Considers Chinese Supplier For Next-Gen IPhone Screens,"Apple Reportedly Considers Chinese Supplier For Next-Gen IPhone Screens<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/4-KCAADI9DE"" height=""1"" width=""1"" alt=""""/>"
02/14/2017,AMZN,836.39,"2,789,377"
02/14/2017,GOOG,820.45,"1,054,472"
02/13/2017,AAPL,133.29,"22,989,980",Apple Shares Closed At New All-time High,"Apple Shares Closed At New All-time High<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/rGnBDrHXNBg"" height=""1"" width=""1"" alt=""""/>"
02/13/2017,AMZN,836.53,"4,167,521"
02/13/2017,GOOG,819.24,"1,205,835",Apple Shares Closed At New All-time High,"Apple Shares Closed At New All-time High<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/rGnBDrHXNBg"" height=""1"" width=""1"" alt=""""/>"
02/11/2017,GOOG, , ,Ford To Invest $1 Bln Into Argo AI To Develop Self-driving Cars,"Ford To Invest $1 Bln Into Argo AI To Develop Self-driving Cars<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/KCeeskUlC34"" height=""1"" width=""1"" alt=""""/>"
02/10/2017,AAPL,132.12,"20,046,250"
02/10/2017,AMZN,827.46,"2,427,817",Sony Electronics: UBP-X800 4K Ultra HD Blu-ray Player Now Available For Pre-sale,"Sony Electronics: UBP-X800 4K Ultra HD Blu-ray Player Now Available For Pre-sale<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/pFaLK_7k-DM"" height=""1"" width=""1"" alt=""""/>"
02/10/2017,GOOG,813.67,"1,134,701",Netflix Show 'Dear White People' Prompts Calls For Boycott,"Netflix Show 'Dear White People' Prompts Calls For Boycott<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/8SH_KiLOhcA"" height=""1"" width=""1"" alt=""""/>"
02/09/2017,AAPL,132.42,"28,321,440"
02/09/2017,AMZN,821.36,"2,482,464"
02/09/2017,GOOG,809.56,"990,260"
02/08/2017,AAPL,132.04,"22,941,650"
02/08/2017,AMZN,819.71,"2,856,058"
02/08/2017,GOOG,808.38,"1,155,892"
02/07/2017,AAPL,131.53,"38,158,410",Apple Reportedly Appoints Amazon's Fire TV Head To Run Apple TV Business,"Apple Reportedly Appoints Amazon's Fire TV Head To Run Apple TV Business<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/28xpmmPGnjE"" height=""1"" width=""1"" alt=""""/>"
02/07/2017,AMZN,812.5,"3,463,842",Apple Reportedly Appoints Amazon's Fire TV Head To Run Apple TV Business,"Apple Reportedly Appoints Amazon's Fire TV Head To Run Apple TV Business<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/28xpmmPGnjE"" height=""1"" width=""1"" alt=""""/>"
02/07/2017,GOOG,806.97,"1,240,257"
02/06/2017,AAPL,130.29,"26,784,530",Tech Titans Take Stand Against Trump Muslim Ban,"Tech Titans Take Stand Against Trump Muslim Ban<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/DmD4r7xAdkY"" height=""1"" width=""1"" alt=""""/>"
02/06/2017,AMZN,807.64,"3,827,284"
02/06/2017,GOOG,801.34,"1,182,882",Tech Titans Take Stand Against Trump Muslim Ban,"Tech Titans Take Stand Against Trump Muslim Ban<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/DmD4r7xAdkY"" height=""1"" width=""1"" alt=""""/>"
02/03/2017,AAPL,129.08,"24,460,160"
02/03/2017,AMZN,810.2,"10,855,610",Amazon Climbs Off Worst Levels But Remains Firmly Negative,"Amazon Climbs Off Worst Levels But Remains Firmly Negative<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/A6pHmn5voxQ"" height=""1"" width=""1"" alt=""""/>"
02/03/2017,GOOG,801.49,"1,461,217"
02/02/2017,AAPL,128.53,"33,671,250",Asian Shares Mixed After Fed Meeting,"Asian Shares Mixed After Fed Meeting<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/q4wk3JN6ahk"" height=""1"" width=""1"" alt=""""/>"
02/02/2017,AMZN,839.95,"7,043,095"
02/02/2017,GOOG,798.53,"1,530,827"
02/01/2017,AAPL,128.75,"111,837,300"
02/01/2017,AMZN,832.35,"3,831,319"
02/01/2017,GOOG,795.695,"2,027,708"
01/31/2017,AAPL,121.35,"47,767,760"
01/31/2017,AMZN,823.48,"3,129,269"
01/31/2017,GOOG,796.79,"2,153,957"
01/30/2017,AAPL,121.63,"30,327,110"
01/30/2017,AMZN,830.38,"3,681,441"
01/30/2017,GOOG,802.32,"3,243,568",Tesla Sues Former Exec For Stealing Secrets,"Tesla Sues Former Exec For Stealing Secrets<img src=""http://feeds.feedburner.com/~r/nasdaq/symbols/~4/mv_DNSrOWzo"" height=""1"" width=""1"" alt=""""/>"
01/27/2017,AAPL,121.95,"20,495,340"
01/27/2017,AMZN,835.77,"2,994,700"
01/27/2017,GOOG,823.31,"2,964,989"
01/26/2017,AAPL,121.94,"26,320,740"
01/26/2017,AMZN,839.15,"3,571,395"
01/26/2017,GOOG,832.15,"2,944,642"
01/25/2017,AAPL,121.88,"32,417,410"
01/25/2017,AMZN,836.52,"3,931,475"
01/25/2017,GOOG,835.67,"1,612,854"
01/24/2017,AAPL,119.97,"23,191,150"
01/24/2017,AMZN,822.44,"2,967,753"
01/24/2017,GOOG,823.87,"1,472,228"
01/23/2017,AAPL,120.08,"21,982,000"
01/23/2017,AMZN,817.88,"2,794,228"
01/23/2017,GOOG,819.31,"1,962,506"
01/20/2017,AAPL,120,"29,922,650"
01/20/2017,AMZN,808.33,"3,373,183"
01/20/2017,GOOG,805.02,"1,668,638"
01/19/2017,AAPL,119.78,"25,554,290"
01/19/2017,AMZN,809.04,"2,529,569"
01/19/2017,GOOG,802.175,"917,085"
01/18/2017,AAPL,119.99,"23,687,350"
01/18/2017,AMZN,807.48,"2,344,879"
01/18/2017,GOOG,806.07,"1,293,893"
01/17/2017,AAPL,120,"34,412,090"
01/17/2017,AMZN,809.72,"3,668,111"
01/17/2017,GOOG,804.61,"1,361,935"
01/13/2017,AAPL,119.04,"26,083,030"
01/13/2017,AMZN,817.14,"3,777,135"
01/13/2017,GOOG,807.88,"1,098,154"
01/12/2017,AAPL,119.25,"27,057,550"
01/12/2017,AMZN,813.64,"4,865,798"
01/12/2017,GOOG,806.36,"1,352,872"
01/11/2017,AAPL,119.75,"27,453,130"
01/11/2017,AMZN,799.02,"2,986,267"
01/11/2017,GOOG,807.91,"1,065,360"
01/10/2017,AAPL,119.11,"24,432,660"
01/10/2017,AMZN,795.9,"2,557,640"
01/10/2017,GOOG,804.79,"1,176,637"
01/09/2017,AAPL,118.99,"33,420,290"
01/09/2017,AMZN,796.92,"3,442,864"
01/09/2017,GOOG,806.65,"1,274,318"
01/06/2017,AAPL,117.91,"31,714,820"
01/06/2017,AMZN,795.99,"5,981,169"
01/06/2017,GOOG,806.15,"1,639,246"
01/05/2017,AAPL,116.61,"22,115,100"
01/05/2017,AMZN,780.45,"5,820,195"
01/05/2017,GOOG,794.02,"1,334,028"
01/04/2017,AAPL,116.02,"21,081,620"
01/04/2017,AMZN,757.18,"2,505,296"
01/04/2017,GOOG,786.9,"1,071,198"
01/03/2017,AAPL,116.15,"28,769,220"
01/03/2017,AMZN,753.67,"3,519,877"
01/03/2017,GOOG,786.14,"1,657,291"
12/30/2016,AAPL,115.82,"30,555,900"
12/30/2016,AMZN,749.87,"4,132,707"
12/30/2016,GOOG,771.82,"1,769,809"
12/29/2016,AAPL,116.73,"14,979,680"
12/29/2016,AMZN,765.15,"3,154,980"
12/29/2016,GOOG,782.79,"743,808"
12/28/2016,AAPL,116.76,"20,686,510"
12/28/2016,AMZN,772.13,"3,282,597"
12/28/2016,GOOG,785.05,"1,142,148"
12/27/2016,AAPL,117.26,"18,131,970"
12/27/2016,AMZN,771.4,"2,630,692"
12/27/2016,GOOG,791.55,"789,151"
12/23/2016,AAPL,116.52,"14,244,050"
12/23/2016,AMZN,760.59,"1,978,722"
12/23/2016,GOOG,789.91,"623,682"
12/22/2016,AAPL,116.29,"26,043,820"
12/22/2016,AMZN,766.34,"2,521,462"
12/22/2016,GOOG,791.26,"972,147"
12/21/2016,AAPL,117.06,"23,724,430"
12/21/2016,AMZN,770.6,"2,041,288"
12/21/2016,GOOG,794.56,"1,208,770"
12/20/2016,AAPL,116.95,"21,337,310"
12/20/2016,AMZN,771.22,"2,701,395"
12/20/2016,GOOG,796.42,"950,345"
12/19/2016,AAPL,116.64,"27,756,760"
12/19/2016,AMZN,766,"3,107,956"
12/19/2016,GOOG,794.2,"1,231,966"
12/16/2016,AAPL,115.97,"44,284,660"
12/16/2016,AMZN,757.77,"4,846,155"
12/16/2016,GOOG,790.8,"2,435,100"
12/15/2016,AAPL,115.82,"46,286,150"
12/15/2016,AMZN,761,"3,795,503"
12/15/2016,GOOG,797.85,"1,623,709"
12/14/2016,AAPL,115.19,"33,962,370"
12/14/2016,AMZN,768.82,"5,446,965"
12/14/2016,GOOG,797.07,"1,700,875"
12/13/2016,AAPL,115.19,"43,293,350"
12/13/2016,AMZN,774.34,"5,253,129"
12/13/2016,GOOG,796.1,"2,122,735"
12/12/2016,AAPL,113.3,"26,176,690"
